created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Jan 09 13:32:53 +0000 2024;1744713859498389543;"Barakallah!  @Pemprov_Kaltim   #kaltim #infokaltim #ikn #InfoIKN https://t.co/5Xc29sQpu2";0;0;0;0;in;1505431160146386945;1744713859498389543;HidayatullahGT;https://twitter.com/HidayatullahGT/status/1744713859498389543
Tue Jan 09 12:43:39 +0000 2024;1744701468832309544;"Kementerian Sekretariat  Negara (Kemensetneg) mulai mempersiapkan upacara peringatan Hari Ulang  Tahun (HUT) RI ke-79 di Ibu Kota Nusantara pada Selasa (9/1/2024).&lt  #IKN #HUTRI #IbuKotaNusantara    https://t.co/Vtpqs3vB7E";0;1;1;1;in;23343960;1744701468832309544;kompascom;https://twitter.com/kompascom/status/1744701468832309544
Tue Jan 09 12:22:53 +0000 2024;1744696240141644154;"Ini dia urgensi pemindahan #IKN https://t.co/qxgEZsw3tB";0;0;0;1;in;1599985302189154304;1744696240141644154;sonia_zuu;https://twitter.com/sonia_zuu/status/1744696240141644154
Tue Jan 09 12:21:17 +0000 2024;1744695838356750536;"#IKN tentu akan bermanfaat besar bagi bangsa Indonesia https://t.co/Mj038wP8fu";0;0;0;1;in;1578037574030925827;1744695838356750536;Rakyat6dua;https://twitter.com/Rakyat6dua/status/1744695838356750536
Tue Jan 09 12:20:29 +0000 2024;1744695637940347013;"Ini model transportasi di #IKN Kerenn https://t.co/eWiioCmi7X";0;0;0;1;in;1578037574030925827;1744695637940347013;Rakyat6dua;https://twitter.com/Rakyat6dua/status/1744695637940347013
Tue Jan 09 12:06:13 +0000 2024;1744692046294851925;"Siap pindah Ibu Kota untuk menciptakan Indonesia sentris bukan hanya dipulau jawa.. keren...  #ikn https://t.co/qiWmGqL2sQ";0;0;0;1;in;1586960882722299904;1744692046294851925;WongBej71786035;https://twitter.com/WongBej71786035/status/1744692046294851925
Tue Jan 09 12:05:16 +0000 2024;1744691809832579292;"Kerenn... Surat Minat Investasi mencapai 328 komitmen..  #ikn https://t.co/97yTYw13uX";0;0;0;1;in;1586960882722299904;1744691809832579292;WongBej71786035;https://twitter.com/WongBej71786035/status/1744691809832579292
Tue Jan 09 11:57:23 +0000 2024;1744689824488153551;"Persiapan Upacara 17 Agustus di IKN Nusantara Mulai Dibahas, Paskibra sudah Terbentuk Maret  #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #17Agustus  https://t.co/jX6W8eXg3z lewat @tribunkaltim";0;0;0;0;in;103551225;1744689824488153551;tribunkaltim;https://twitter.com/tribunkaltim/status/1744689824488153551
Tue Jan 09 09:19:36 +0000 2024;1744650117372903715;"Pembangunan IKN tahap pertama sudah hampir selesai.. goo indonesia #ikn #ibukotanusantara #kaltim #jakarta #viral #fyp https://t.co/MkZvd1bsqE";0;0;0;0;in;1630030373915852800;1744650117372903715;agara_dika;https://twitter.com/agara_dika/status/1744650117372903715
Tue Jan 09 08:57:54 +0000 2024;1744644653746622727;"Hi MNCers!✨ Ada kabar baik nih kalau menteri perhubungan akan berkunjung ke Korea Selatan hingga China untuk kerja sama loh. Mau tahu detailnya?  Geser slide berikut untuk info selengkapnya✨  #MNCSekuritas #AkuInvestorSaham #MNCTradeNew #News #Kereta #IKN #China #Korea #Korsel https://t.co/chT90CKyAI";0;0;0;1;in;1016941198580170753;1744644653746622727;MncSekuritasIdv;https://twitter.com/MncSekuritasIdv/status/1744644653746622727
