created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Jan 20 10:26:02 +0000 2024;1748653101614018935;IKN adalah Kebanggaan Kita  #IKNNusantara #IKNMajukanEkonomi https://t.co/EqoOWYwHMK;0;0;0;1;in;1564436564855234560;1748653101614018935;kharism79;https://twitter.com/kharism79/status/1748653101614018935
Sat Jan 20 10:25:54 +0000 2024;1748653067040620983;@CNNIndonesia perubahan apanya ganjar aja masih komitmen meneruskan ikn, melanjutkan bansos tanpa mengurangi justru malah menambahkan cakupannya;0;0;0;0;in;1743218292712718336;1748591995927584884;aleeena1103;https://twitter.com/aleeena1103/status/1748653067040620983
Sat Jan 20 10:25:29 +0000 2024;1748652965223968938;Mewujudkan Indonesia Sentris dengan Pembangunan IKN  #IKNNusantara #IKNMajukanUMKM https://t.co/VU3QzoLMGV;0;0;1;2;in;1564436564855234560;1748652965223968938;kharism79;https://twitter.com/kharism79/status/1748652965223968938
Sat Jan 20 10:25:28 +0000 2024;1748652959137734800;@DedynurPalakka Siapa yg meremehkan IKN? Itu kan udah jadi undang-undang, artinya IKN didukung semua lembaga negara. Kalau kritis terhadap IKN, itu beda  sama seperti orang kritis thp food estate yg merugikan negara Rp 6 triliun, merusak lingkungan, &amp  merugikan masyarakat adat, persis Orde Baru;0;0;0;0;in;146692776;1748541354513469677;berilhuliselan;https://twitter.com/berilhuliselan/status/1748652959137734800
Sat Jan 20 10:24:54 +0000 2024;1748652818079076801;@VVhyFii @small_mofo_Mk2 Jangan gitu bang, lagi sibuk push ikn itu biar tanah adinda lakuuu;0;0;0;0;in;584422873;1748492533716722007;hafidmambai;https://twitter.com/hafidmambai/status/1748652818079076801
Sat Jan 20 10:24:48 +0000 2024;1748652793236439471;Pembangunan IKN Nusantara MElindugi dan Melestarikan Hutan  #IKNNusantara https://t.co/3pJ3tZy4D2;0;0;0;1;in;1564436564855234560;1748652793236439471;kharism79;https://twitter.com/kharism79/status/1748652793236439471
Sat Jan 20 10:24:17 +0000 2024;1748652661711552551;IKN Melindungi Kawasan Hutan dan Satwa  #IKNNusantara https://t.co/8qJUtIYZ58;0;0;0;1;in;1564436564855234560;1748652661711552551;kharism79;https://twitter.com/kharism79/status/1748652661711552551
Sat Jan 20 10:22:05 +0000 2024;1748652109493641498;Solusinya affordable housing tengah kota. Public Housing model Singapore.  Upgrade Metropolitan Upgrade 40 kota Amin, Alih alih IKN @sociotalker;0;0;0;5;in;1156276598;1748652109493641498;SodaTawar;https://twitter.com/SodaTawar/status/1748652109493641498
Sat Jan 20 10:21:14 +0000 2024;1748651895483506776;Tahap satu pembangunan Jalan Tol IKN saat ini sudah berjalan pada tiga seksi yakni Seksi 3A Karangjoang-KKT Kariangau sepanjang 13,4 kilometer dengan progres 48 persen. #JalanTolIKN #progres   https://t.co/bA2tGQ78Iq;0;0;0;2;in;1698580133068865536;1748651895483506776;heralddotID;https://twitter.com/heralddotID/status/1748651895483506776
Sat Jan 20 10:20:06 +0000 2024;1748651609343865149;Ikn sangat memberikan dampak yang positif bagi bangsa https://t.co/Fb4GSVQPGt;0;0;0;0;in;1618041706749857793;1748651609343865149;luasikbanget;https://twitter.com/luasikbanget/status/1748651609343865149
Sat Jan 20 10:19:53 +0000 2024;1748651555262546376;Ikn akan menjadi kota yang berkualitas https://t.co/kO5EnlfHRI;0;0;0;0;in;1618041706749857793;1748651555262546376;luasikbanget;https://twitter.com/luasikbanget/status/1748651555262546376
Sat Jan 20 10:19:45 +0000 2024;1748651519178908155;Ikn tingkatkan ekonomi Indonesia https://t.co/qu7xKTmpgv;0;0;0;0;in;1618041706749857793;1748651519178908155;luasikbanget;https://twitter.com/luasikbanget/status/1748651519178908155
Sat Jan 20 10:19:37 +0000 2024;1748651488593772831;Mantap bener nih IKN https://t.co/ESMi7Auqyx;0;0;0;0;in;1618041706749857793;1748651488593772831;luasikbanget;https://twitter.com/luasikbanget/status/1748651488593772831
Sat Jan 20 10:18:14 +0000 2024;1748651138487042279;@whistleblouer @jjjj1____ @kayyishawari2 @waganjarbageur @hazenohaze PKB paling dosa nya ikn itu;0;1;0;0;in;1133126060252454912;1748326836684378495;Ernumom;https://twitter.com/Ernumom/status/1748651138487042279
Sat Jan 20 10:17:56 +0000 2024;1748651063958261999;Edisi mencari calon istri nih di #JodohnyaASN 💘  📨 ASN pria kelahiran thn 1998 dom jakpus kriteria islam, seumuran atau lebih muda, mau tinggal di IKN  Kalo bisa mba mba jawa😁  Silakan balas tweet ini. Siapa cepat dia dapat 😅 https://t.co/tBJunPppQ1;13;85;12;68;in;1100506281767399424;1748651063958261999;pejabrut;https://twitter.com/pejabrut/status/1748651063958261999
Sat Jan 20 10:16:06 +0000 2024;1748650600454377932;@kompascom Makanya penting makan drpada ikn mewah;0;0;0;0;in;823167514599247873;1748649858012168456;hdkanjeng;https://twitter.com/hdkanjeng/status/1748650600454377932
Sat Jan 20 10:15:56 +0000 2024;1748650561409614155;@Kanseulir @aniesbaswedan @prabowo @ganjarpranowo Selama janji jokowi mengenai esemka, indosat, tidak hutang, tidak bagi2 kursi, tidak import, rupiah meroket, IKN non APBN belum terbukti selama 9 tahun, apakah masih ada yang percaya ucapan jokowi dan pendukungnya ? PILIH NO. 1 AMIN;0;0;0;0;in;891661661106339841;1747279121162645826;Yayock_WR;https://twitter.com/Yayock_WR/status/1748650561409614155
Sat Jan 20 10:15:09 +0000 2024;1748650363828543903;@BangPino__ Sorry, kayanya ada yg belum terjawab. Mengenai lahan ratusan ribu hektar yg nantinya terbengkalai jika ikn tidak diteruskan, mau diapakan (?). Barangkali ada yg udh bisa nangkap jawabannya, bantu pencerahannya ngab.;0;0;0;0;in;1187770587801800704;1747130588170252745;mpaalll;https://twitter.com/mpaalll/status/1748650363828543903
Sat Jan 20 10:14:24 +0000 2024;1748650173482283079;"@pandji saya bisa aja berargumen soal IKN bukan solusi pemerataan, tapi saya rasa saya ga punya influence untuk mengajak"" orang melihat argumen saya, berbeda dengan anda, argumen anda bisa digunakan menjadi ""alat kampanye"" bang, tahan dulu bang, saya tau anda udah gatel 😂""";0;0;0;8;in;74475798;1748647700407668935;apitozz;https://twitter.com/apitozz/status/1748650173482283079
Sat Jan 20 10:10:26 +0000 2024;1748649173883433350;@pandji ya saya tau argumen anda karna anda mendukung IKN sebagai pemerataan dan jakarta masih butuh anies untuk menyelesaikan programnya dia, but ayo lah bro, you know semakin anda bersuara untuk menyadarkan pendukung 01, semakin besar konten lu digunakan untuk menyerang 01.;0;2;0;45;in;74475798;1748647700407668935;apitozz;https://twitter.com/apitozz/status/1748649173883433350
Sat Jan 20 10:10:01 +0000 2024;1748649069919268984;Nusantara Green Pesantren, Upaya Wujudkan Visi IKN sebagai Kota Hutan  Ini yg akan dilanjutkan @prabowo   https://t.co/ysVWbJ3jh9  Kompascom+ baca berita tanpa iklan: https://t.co/scFoDz8YTM Download aplikasi: https://t.co/1JXxfLmuce https://t.co/ysVWbJ3jh9;0;0;0;0;in;1486631613932834819;1748649069919268984;jari_droid;https://twitter.com/jari_droid/status/1748649069919268984
Sat Jan 20 10:09:07 +0000 2024;1748648842730566079;Jepang Bakal Kembangkan Bandara Sepinggan Balikpapan, Jadi Pintu Masuk IKN https://t.co/kVpQbE2ZD5 #Bisnis;0;0;0;0;in;47596019;1748648842730566079;liputan6dotcom;https://twitter.com/liputan6dotcom/status/1748648842730566079
Sat Jan 20 10:09:06 +0000 2024;1748648838292988366;Menteri Pekerjaan Umum dan Perumahan Rakyat (PUPR), Basuki Hadimuljono tak mau tahu, proyek jalan tol Ibu Kota Negara (IKN) Nusantara (IKN) di Kaliman... https://t.co/aLyjWFoeVc;0;0;0;0;in;46693036;1748648838292988366;inilahdotcom;https://twitter.com/inilahdotcom/status/1748648838292988366
Sat Jan 20 10:07:46 +0000 2024;1748648505571483692;@Jayabay19479190 Yg jelas dapat proyek di IKN;0;0;0;1;in;230175880;1748591927421984832;irfanz777;https://twitter.com/irfanz777/status/1748648505571483692
Sat Jan 20 10:03:31 +0000 2024;1748647433767469101;Pemerintah Targetkan PLTS 50 MW Pasok Listrik di IKN #esgindonesia #esg https://t.co/iKyOT73tel;0;0;0;0;in;1717826113601515520;1748647433767469101;esg_indonesia;https://twitter.com/esg_indonesia/status/1748647433767469101
Sat Jan 20 10:03:14 +0000 2024;1748647362657198177;Couldn't agree more. Aku mantab dukung Pak Anies bukan hanya krn profil beliau tp jg sejak mendengar langsung paparan analisa dr timnya ttg IKN  Pak Tom Lembong (pakar investasi) dan Prof Sulfikar Amir (pakar sosiologi perkotaan), November lalu. Baru setelahnya kepoin visi misi. https://t.co/9Ya7vTh6cE;0;0;0;0;in;1662234184818262016;1748647362657198177;sunnyfloweria;https://twitter.com/sunnyfloweria/status/1748647362657198177
Sat Jan 20 10:02:36 +0000 2024;1748647205584633857;Kalau di 5 pulau besar semua terpenuhi standar kebutuhan perkembangan keamanan dan posture infrastruktur kesejahteraan maka dengan sendirinya indonesia akan mamur sejahtera.  Itu sebabnya saya setuju IKN karena itu logis untuk penyebaran dan percepatan pembangunan https://t.co/YbDVuXCLaY;0;1;1;4;in;1088712146534293504;1748647205584633857;anisabayan1;https://twitter.com/anisabayan1/status/1748647205584633857
Sat Jan 20 10:02:17 +0000 2024;1748647124898844995;OIKN Ajak University of Maryland AS untuk Riset Kebijakan di IKN https://t.co/DwtwLJQK4G https://t.co/u3VXYzQ0bw;0;0;0;0;in;887616625175707649;1748647124898844995;suaraindonews_;https://twitter.com/suaraindonews_/status/1748647124898844995
Sat Jan 20 10:02:11 +0000 2024;1748647098709672317;@kumparan Pak tua makan mulu yg dikampamyekan duit dr mana ? Belumm proyek ikn, kereta cepat, apa naikkan pajak, cekik rakyat? https://t.co/rD4ARYkvfv;0;0;0;4;in;1708810617153556480;1748612216646148600;itachi_saring;https://twitter.com/itachi_saring/status/1748647098709672317
Sat Jan 20 09:57:01 +0000 2024;1748645799079362581;Dari awal IKN penuh tipudaya. https://t.co/o4U0WVeRwo;0;0;0;0;in;780077959;1748645799079362581;AchmadShonnyArc;https://twitter.com/AchmadShonnyArc/status/1748645799079362581
Sat Jan 20 09:56:07 +0000 2024;1748645571894882363;Jokowi, the king of Indonesia's game theory. Lawan jadi kawan karena kepepet, truly game maker. Tapi jujur skeptis jokowi nyusun strategi ini sendiri (you know la kenapa)... It's so over for us 😂 demi IKN dilibas kabeh broo;0;0;0;0;in;846603690689544192;1748645571894882363;GubjenVOC;https://twitter.com/GubjenVOC/status/1748645571894882363
Sat Jan 20 09:53:25 +0000 2024;1748644892136333546;@JudahLion88 @Niel_Irvingia01 Kurang cukup sang raja menfaatkan orang dayak buat tameng nya....? Mereka ga sadar aja  di janji  bangun dayak center di IKN  Nyatanya   nol putul...;0;1;0;1;in;1052131930810896386;1748623996541649268;Raja_niel;https://twitter.com/Raja_niel/status/1748644892136333546
Sat Jan 20 09:48:36 +0000 2024;1748643680309911939;Uji coba mobil terbang pada 2024 di IKN Nusantara https://t.co/3zPTw4V7Fo;0;0;0;0;in;1557919223930036229;1748643680309911939;Inggridv112;https://twitter.com/Inggridv112/status/1748643680309911939
Sat Jan 20 09:48:34 +0000 2024;1748643670822420752;Simbol Keberlanjutan, Prabowo-Gibran Paling Komitmen Tuntaskan Pembangunan IKN - Radar Kudus - Radar Kudus https://t.co/VEDqFpvONA #IndonesiaKuatIndonesiaMaju #DiplomasiProgresif02 #02Melanjutkan;0;0;10;0;in;814012104768307201;1748643670822420752;RondangKomariah;https://twitter.com/RondangKomariah/status/1748643670822420752
Sat Jan 20 09:48:33 +0000 2024;1748643668201013566;Simbol Keberlanjutan, Prabowo-Gibran Paling Komitmen Tuntaskan Pembangunan IKN - Radar Kudus - Radar Kudus https://t.co/R7wIheGWGs #IndonesiaKuatIndonesiaMaju #DiplomasiProgresif02 #02Melanjutkan;0;0;10;0;in;4534177320;1748643668201013566;SahrulAmzi;https://twitter.com/SahrulAmzi/status/1748643668201013566
Sat Jan 20 09:48:14 +0000 2024;1748643590794813849;Pembangunan IKN Nusantara berdampak positif bagi lingkungan https://t.co/jUtg939i7U;0;0;0;0;in;1557919223930036229;1748643590794813849;Inggridv112;https://twitter.com/Inggridv112/status/1748643590794813849
Sat Jan 20 09:47:57 +0000 2024;1748643517260546180;IKN Nusantara meningkatkan perekonomian wilayah sekitar https://t.co/vy4M3Ynadm;0;0;0;0;in;1557919223930036229;1748643517260546180;Inggridv112;https://twitter.com/Inggridv112/status/1748643517260546180
Sat Jan 20 09:47:29 +0000 2024;1748643401698808233;Menteri Pekerjaan Umum dan Perumahan Rakyat (PUPR) Basuki Hadimuljono janji kualitas jalan tol di IKN Nusantara terbaik di Indonesia https://t.co/JEEG1RUUH0;0;0;0;0;in;1557919223930036229;1748643401698808233;Inggridv112;https://twitter.com/Inggridv112/status/1748643401698808233
